idSiniestro,NumVictimas,Anio,Mes,Dia,H,LugarHecho,TipoDeCalle,Calle,Cruce,Comuna,PosX,PosY,Participantes,Victima,Acusado,DiaSemana,Rol,Sexo,Edad,FechaFallecimiento,RangoHorario,Semestre
2016-0001,1,2016,Enero,1,4.0,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,Con Cruce,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,Viernes,CONDUCTOR,MASCULINO,19.0,2016-01-01 00:00:00,madrugada,1
2016-0002,1,2016,Enero,2,1.0,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,Sábado,CONDUCTOR,MASCULINO,70.0,2016-01-02 00:00:00,madrugada,1
2016-0003,1,2016,Enero,3,7.0,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,Sin Cruce,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,Domingo,CONDUCTOR,MASCULINO,30.0,2016-01-03 00:00:00,mañana,1
2016-0005,1,2016,Enero,21,5.0,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,Con Cruce,1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS,Jueves,CONDUCTOR,MASCULINO,29.0,2016-02-01 00:00:00,madrugada,1
2016-0008,1,2016,Enero,24,18.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,Con Cruce,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Domingo,CONDUCTOR,MASCULINO,30.0,2016-01-24 00:00:00,noche,1
2016-0009,1,2016,Enero,24,19.0,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,Con Cruce,11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO,Domingo,PASAJERO_ACOMPAÑANTE,MASCULINO,29.0,2016-01-26 00:00:00,noche,1
2016-0010,1,2016,Enero,29,15.0,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,Viernes,CONDUCTOR,MASCULINO,18.0,2016-01-29 00:00:00,tarde,1
2016-0012,1,2016,Febrero,8,1.0,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,Con Cruce,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,Lunes,CONDUCTOR,MASCULINO,22.0,2016-02-08 00:00:00,madrugada,1
2016-0013,1,2016,Febrero,10,11.0,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,Sin Cruce,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,Miércoles,PEATON,MASCULINO,16.0,2016-02-10 00:00:00,mañana,1
2016-0015,1,2016,Febrero,14,5.0,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",Con Cruce,15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO,Domingo,PEATON,FEMENINO,16.0,2016-02-14 00:00:00,madrugada,1
