Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2021,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"3,078,836","257,235","149,371","193,425","240,437","187,670","185,620","242,188","229,541","171,444","170,677","190,105","215,002","236,468","227,168","182,485"
0-4,"202,276","16,763","6,866","11,698","19,310","10,785","10,922","17,816","22,933","12,024","10,726","11,193","13,780","13,997","12,332","11,131"
5-9,"201,450","15,396","6,640","11,532","19,698","10,958","10,669","17,858","22,492","12,840","11,531","12,453","13,473","13,098","11,310","11,502"
10-14,"197,620","15,325","6,517","11,442","20,144","10,694","9,867","17,619","21,998","12,816","11,225","12,229","12,755","12,547","11,022","11,420"
15-19,"195,299","15,911","8,674","11,547","18,758","10,759","9,840","16,657","20,228","11,906","10,900","11,612","12,349","12,576","12,437","11,145"
20-24,"191,121","19,310","12,923","13,457","15,539","10,977","9,638","15,013","16,448","9,594","9,338","9,752","10,940","12,478","15,337","10,377"
25-29,"209,628","21,459","12,824","14,675","15,744","13,323","11,889","15,433","15,365","9,922","9,913","11,026","13,290","15,216","17,495","12,054"
30-34,"227,098","20,525","10,917","15,001","16,791","14,907","14,314","16,646","15,201","11,115","11,358","12,938","16,836","18,156","18,164","14,229"
35-39,"229,265","19,789","9,607","14,787","17,161","14,634","14,745","17,177","15,664","12,258","12,196","14,005","17,090","18,902","17,249","14,001"
40-44,"223,732","18,933","9,296","14,369","17,390","13,965","13,794","17,083","15,573","12,594","12,295","14,306","15,900","17,771","16,763","13,700"
45-49,"207,663","17,317","9,206","13,212","15,317","12,884","13,060","15,855","13,371","11,509","12,173","13,701","15,219","16,405","15,259","13,175"
50-54,"173,627","14,489","8,225","10,684","12,459","11,019","11,483","13,407","10,009","9,515","10,456","11,712","12,872","13,817","12,885","10,595"
55-59,"156,995","12,730","8,212","9,949","10,948","10,028","10,447","11,836","8,390","8,590","9,361","10,441","11,301","12,799","12,355","9,608"
60-64,"152,784","12,039","8,714","9,423","9,844","9,737","10,289","11,322","7,817","8,294","8,900","10,117","11,300","13,262","12,456","9,270"
65-69,"139,588","10,767","8,349","8,616","8,907","8,902","9,245","10,221","7,090","7,696","7,889","9,227","10,320","12,417","11,774","8,168"
70-74,"122,866","8,937","7,290","7,572","7,871","7,819","8,171","9,147","6,400","6,940","7,354","8,131","9,107","10,644","10,192","7,291"
75-79,"99,037","6,921","5,539","6,168","6,231","6,280","6,588","7,550","4,955","5,848","6,107","6,821","7,484","8,643","7,917","5,985"
80 y más,"148,787","10,624","9,572","9,293","8,325","9,999","10,659","11,548","5,607","7,983","8,955","10,441","10,986","13,740","12,221","8,834"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Varón,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,447,495","128,410","66,672","91,457","115,260","86,453","84,942","114,217","110,169","83,027","80,145","89,789","100,594","108,098","102,841","85,421"
