Tipo de fiscalizador;Ubicación;Latitud;Longitud
Analítica de video;Av. Juan B. Alberdi 890 y Centenera;-34,6230642;-58,4405459
Analítica de video;Av. Juan B. Justo 3969 y Av. San Martin;-34,6040577;-58,4583156
Analítica de video;Av. Rivadavia 4987 y Acoyte;-34,6179844;-58,4361597
Analítica de video;Bernardo de Irigoyen 1026 y Carlos Calvo;-34,6201095;-58,3799732
Analítica de video;Av. Córdoba 6287 y Jorge Newbery;-34,5827315;-58,448532
Analítica de video;Av. Rivadavia 10524 y Miralla;-34,6394678;-58,511763
Analítica de video;Rosario 21 y Av. La Plata;-34,61822;-58,429025
Analítica de video;Av. Córdoba 4570 y Scalabrini Ortiz;-34,59468;-58,4299651
Analítica de video;Av. Córdoba 4471 y Araoz;-34,5949669;-58,4287148
Analítica de video;Av. Avellaneda 1825 y Donato Álvarez;-34,6211717;-58,4564399
Analítica de video;Av. Mosconi 3000 y Argerich;-34,5871007;-58,5033248
Analítica de video;Av. Paseo Colon 753 e Independencia;-34,6167221;-58,3695746
Analítica de video;Av. Caseros 3020 y La Rioja;-34,6372008;-58,405921
Analítica de video;Av. Cabildo 1716 y J. Hernández;-34,5655339;-58,4538156
Analítica de video;Av. Gaona 2300 y Donato Álvarez;-34,6137044;-58,4594855
Analítica de video;Av. Francisco Beiro 2875 y Av. Nazca;-34,5947753;-58,4941256
Analítica de video;Av. Corrientes 3022 y Ecuador;-34,6043626;-58,4080931
Analítica de video;Lima 281 y Moreno;-34,6116696;-58,3819691
Analítica de video;Av. Roca 5870 y Soldado de la Frontera;-34,6896993;-58,4607644
Analítica de video;Av. Avellaneda 2924 y Nazca;-34,626596;-58,47185
Analítica de video;Av. Independencia 1784 y Av. Entre Ríos;-34,6183201;-58,3913006
Analítica de video;Av. Corrientes 2813 y Pueyrredón;-34,604368;-58,405723
Analítica de video;Av. Álvarez Thomas 1294 y Av. Elcano;-34,578286;-58,4598168
Analítica de video;Av. San Juan 1119 y Lima;-34,6219603;-58,3818964
Analítica de video;Av. Santa Fe 4650 y Bullrich;-34,578466;-58,426036
Analítica de video;Alem, Leandro N. Av. 518 y Lavalle;-34,6016026;-58,3706653
Analítica de video;Lima 1524 Oeste y Pavón;-34,6261863;-58,3821062
Analítica de video;Corrientes Av. 6210 y Dorrego Av.;-34,5915862;-58,447969
Analítica de video;Ramos Mejia, Jose Maria, Dr. Av. 1304 y Del Libertador Av.;-34,5923398;-58,3751466
Analítica de video;Corrientes Av. 5220 y Scalabrini Ortiz, Raul Av.;-34,59987;-58,4390869
Analítica de video;Cabildo Av. 4718 y Deheza;-34,5413779;-58,4741464
Analítica de video;Rivadavia 7420 Av. y Nazca Av.;-34,6309456;-58,4700198
Analítica de video;Las Heras 2289 y Pueyrredon Av.;-34,587597;-58,3968022
Analítica de video;Av. Santa Fe 2622 y Ecuador;-34,5941423;-58,4040057
Analítica de video;Belgrano Av. 3218 y 24 De Noviembre;-34,6154775;-58,411437
Analítica de video;Av. Independencia 2086 y Rincon;-34,618509;-58,3956791
Analítica de video;Rivadavia Av. 2775 y Jujuy Av.;-34,6098817;-58,4055978
Analítica de video;Rabanal, Francisco, Intendente Av. 1323 y del barco centenera;-34,6547635;-58,4172216
Analítica de video;Belgrano 324 y Balcarce;-34,6125804;-58,3708745
Analítica de video;Virrey Vértiz 2010 y Echeverría;-34,5590823;-58,4497814
Analítica de video;Paseo Colón Av. 400 y Belgrano Av.;-34,6128447;-58,3688407
Analítica de video;Sáenz Av. 1230 y Beazley;-34,6550245;-58,4161493
Analítica de video;Vuelta de obligado 2179 y Mendoza;-34,5606815;-58,4560335
Analítica de video;Olivera Av. 187 y Rafaela;-34,6376715;-58,4871991
Analítica de video;Entre Ríos Av 1818 y Brasil;-34,6295987;-58,3907567
Analítica de video;Vedia 3438 y Superi;-34,5441959;-58,4860639
Analítica de video;Garay Juan de Av. 1769 y Entre Ríos Av.;-34,6272455;-58,3902949
Analítica de video;De la Torre Lisandro Av. 663 y Tonelero;-34,6460407;-58,5205847
Analítica de video;Montes de Oca Av. 1685 y California;-34,6464535;-58,3733901
Analítica de video;Rivadavia Av. 6626 y Granaderos;-34,627858;-58,459097
Analítica de video;Rivadavia Av. 9618 y Manzoni;-34,6376219;-58,4997174
Analítica de video;Av. Juan B. Justo 4781 y Andres Lamas;-34,6102978;-58,46633
Analítica de video;Del Libertador Av. 5722 y La Pampa;-34,5593889;-58,4457398
Analítica de video;Varela Av. 2779 y Fernandez de la Cruz Av.;-34,6555379;-58,4385182
Analítica de video;San Martín Av. 1844 y Tres Arroyos;-34,6056573;-58,4545631
Analítica de video;Montevideo 300 entre Perón y Sarmiento;-34,6054907;-58,3894739
Analítica de video;Av. Córdoba 3907 entre Gascón y A. Figueroa;-34,5975841;-58,4220008
Analítica de video;Av. Corrientes 2676 y Castelli;-34,6049096;-58,4042261
Analítica de video;Gorriti 5300 entre Godoy Cruz y Uriarte;-34,5876234;-58,4339226
Analítica de video;Av. Corrientes 5694 entre Serrano y Thames;-34,5956916;-58,4435512
Analítica de video;Superi 1803 y La pampa;-34,5703791;-58,464171
Analítica de video;Billinghurst 301 entre Perón y Sarmiento;-34,60685;-58,416078
Analítica de video;Bonifacio 2501 entre Culpina y Varela;-34,632804;-58,462747
Analítica de video;Pola 1205 entre Av. J.B.Alberdi y Bragado;-34,6499748;-58,5004982
Analítica de video;33 orientales 903 entre Carlos Calvo y EEUU;-34,625019;-58,423261
Analítica de video;Cesar Díaz 2898 entre Av. Nazca y Terrada;-34,6143711;-58,478771
Analítica de video;Carlos Calvo 2195 y Pasco;-34,620659;-58,396973
Analítica de video;La Pampa 4704 entre Álvarez Thomas y Combatientes de Malvinas;-34,577348;-58,475799
Analítica de video;CERETTI 2997 Y AV. CONGRESO - TOMÁS A. LE BRETÓN;-34,573406;-58,496832
Analítica de video;AMENABAR 2209 Y AV. OLAZABAL - AV. MENDOZA;-34,562029;-58,459456
Analítica de video;Au 25 de Mayo - Sentido Provincia - Pk 2+700;-34,6318031;-58,4404905
Analítica de video;Au 25 de Mayo - Sentido Provincia - Pk 1+260;-34,6371471;-58,4544411
Analítica de video;Au Perito Moreno - Sentido Centro Km 3+900;-34,641783;-58,4912964
Analítica de video;Au Perito Moreno - Sentido Provincia - Pk 0+700;-34,6367877;-58,5214248
Analítica de video;Au 25 de Mayo - Sentido Centro - Pk 6+300;-34,6261016;-58,4022056
Analítica de video;Callao Av. 858 y Paraguay;-34,598937;-58,393118
Analítica de video;Lima este y Juan de Garay Av.;-34,626015;-58,380434
Analítica de video;Pueyrredon Av. 214 y Perón;-34,6074486;-58,4064799
Analítica de video;Lima 1365 y Constitución;-34,6242234;-58,381532
Analítica de video;Córdoba Av. 1980 y Ayacucho;-34,6000849;-58,3950441
Analítica de video;Entre Ríos Av. 326 y Moreno;-34,6130065;-58,3915575
Analítica de video;Rivadavia Av. 5353 y Barco Centenera Del;-34,619908;-58,4411019
Analítica de video;Rivadavia Av. 7218 y Culpina/Condarco;-34,630363;-58,4671364
Analítica de video;Suarez 1635 y Isabel La Catolica;-34,6384136;-58,3737553
Analítica de video;Lacroze, Federico Av. 4199 y Corrientes Av.;-34,5867518;-58,4552263
Analítica de video;Forest Av. 634 y Lacroze, Federico Av.;-34,5849407;-58,4543749
Analítica de video;Lacroze, Federico Av. 2462 y Zapata;-34,5711632;-58,4453548
Analítica de video;Perón 2687 y Castelli;-34,6075053;-58,4044201
Analítica de video;Larrea 477 y Lavalle;-34,603716;-58,4021601
Analítica de video;Pueyrredon 1418 Av. 1418 y Santa Fe Av.;-34,5941097;-58,4023757
Analítica de video;Callao Av. 1588 y Lopez, Vicente;-34,5909955;-58,3912392
Analítica de video;Nazca 479 y Avellaneda;-34,6267026;-58,4712749
Analítica de video;Boedo Av. 965 y Av. San Juan;-34,6250301;-58,4163128
Analítica de video;Scalabrini Ortiz Av. 1385 y Gorriti;-34,5924145;-58,4270191
Analítica de video;Triunvirato Av. 4520 y Olazabal Av.;-34,5754872;-58,4848347
Cinemómetro;Av. Jose María Moreno - 1657;-34,637517;-58,432050
Cinemómetro;Au. Dellepiane - km 1.15;-34,677815;-58,479359
Cinemómetro;Au. 25 de mayo - km 8.4;-34,622780;-58,379774
Cinemómetro;Au. Arturo Frondizi - km 0.5;-34,647174;-58,374735
Cinemómetro;Au. Arturo Frondizi - km 2.0;-34,634808;-58,377710
Cinemómetro;Av. Figueroa Alcorta - 6184;-34,558211;-58,428843
Cinemómetro;Au. Intendente Cantilo - km 8.7;-34,541997;-58,448972
Cinemómetro;Au. Intendente Cantilo - km 8.7;-34,541997;-58,448972
Cinemómetro;Au. Dellepiane - km 2.3;-34,667847;-58,474628
Cinemómetro;Av. Estado de Israel - 4488;-34,598505;-58,428523
Cinemómetro;Av. Juan de Garay - 2046;-34,627578;-58,393620
Cinemómetro;Av. Eva Perón - 1825;-34,635796;-58,448878
Cinemómetro;Av. Emilio Castro - 6281;-34,649256;-58,509924
Cinemómetro;Au. Leopoldo Lugones - km 8.7;-34,542608;-58,449202
Cinemómetro;Au. Dellepiane - km 1.15;-34,677866;-58,479048
Cinemómetro;Au. Leopoldo Lugones - km 7.6;-34,548313;-58,438831
Cinemómetro;Av. Bruix - 4495;-34,646741;-58,487918
Cinemómetro;Av. Directorio - 4155;-34,642733;-58,481786
Cinemómetro;Au. Dellepiane - km 1.15;-34,677815;-58,479359
Cinemómetro;Calle Irigoyen - 1761;-34,624617;-58,521342
Cinemómetro;Calle Galván - 3640;-34,560784;-58,492214
Cinemómetro;Av. 27 de febrero - 10500;-34,698835;-58,456327
Cinemómetro;Av. 27 de febrero - 10500;-34,698835;-58,456327
Cinemómetro;Au. Arturo Humberto Illia - km 1.2;-34,582714;-58,381579
Cinemómetro;Au. Arturo Humberto Illia - km 3.9;-34,567341;-58,407185
Cinemómetro;Au. Arturo Humberto Illia - km 3.9;-34,567341;-58,407185
Cinemómetro;Au. Perito Moreno - km 4.5;-34,645308;-58,486354
Cinemómetro;Au. Perito Moreno - km 4.5;-34,645308;-58,486354
Cinemómetro;Au. 25 de mayo - km 8.4;-34,622780;-58,379774
Cinemómetro;Au. Arturo Humberto Illia - km 1.2;-34,582546;-58,381472
Cinemómetro;Au. Frondizi - km 0.5;-34,647174;-58,374735
Cinemómetro;Av. Figueroa Alcorta - 4740;-34,568250;-58,416080
Cinemómetro;Av. Rivadavia - 10741;-34,639139;-58,515007
Cinemómetro;Av. Del Libertador - 5275;-34,562421;-58,440355
Cinemómetro;Au. 25 de mayo - km 8.4;-34,622886;-58,379715
Cinemómetro;Av. Gral. Mosconi - 3043;-34,587261;-58,503966
Cinemómetro;Av. Sarmiento - 4290;-34,570110;-58,410626
Cinemómetro;Av. San Juan - 2507;-34,623510;-58,400497
Cinemómetro;Av. Juan B. Justo - 8736;-34,634205;-58,512419
Cinemómetro;Av. Independencia - 2660;-34,618768;-58,403085
Cinemómetro;Av. Triunvirato - 6300;-34,560037;-58,496070
Cinemómetro;Av. San Juan - 2735;-34,623819;-58,403072
Cinemómetro;Av. Belgrano - 3349;-34,615279;-58,413742
Cinemómetro;Av. Figueroa Alcorta - 6180;-34,558211;-58,428843
Cinemómetro;Au. Perito Moreno - km 4.8;-34,646162;-58,484752
Cinemómetro;Au. Perito Moreno - km 4.8;-34,646162;-58,484752
Cinemómetro;Au. Perito Moreno - km 2.9;-34,635783;-58,499819
Cinemómetro;Au. Perito Moreno - km 2.9;-34,635783;-58,499819
Cinemómetro;Au. Arturo Frondizi - km 2.0;-34,634808;-58,377710
Cinemómetro;Au. Intendente Cantilo - km 8.7;-34,541997;-58,448972
Cinemómetro;Au. Dellepiane - km 2.3;-34,667847;-58,474628
Cinemómetro;Av. Estado de Israel - 4496;-34,598505;-58,428523
Cinemómetro;Av. Juan de Garay - 2030;-34,627578;-58,393620
Cinemómetro;Av. San Pedrito - 418;-34,635933;-58,467221
Cinemómetro;Av. Jujuy - 1794;-34,631125;-58,400724
Cinemómetro;Av. Elcano - 4430;-34,587943;-58,463905
Cinemómetro;Av. 27 de febrero - 8375;-34,683218;-58,443227
Cinemómetro;Av. Directorio - 3078;-34,636173;-58,469959
Cinemómetro;Calle Crisologo Larralde - 6037;-34,567206;-58,504409
Cinemómetro;Au. Leopoldo Lugones - km 8.7;-34,542608;-58,449202
Cinemómetro;Au. Leopoldo Lugones - km 8.7;-34,542608;-58,449202
Cinemómetro;Au. Dellepiane - km 1.15;-34,677866;-58,479048
Cinemómetro;Calle Crisologo Larralde - 5295;-34,562812;-58,495362
Cinemómetro;Au. Arturo Frondizi - km 2.6;-34,627679;-58,379081
Cinemómetro;Au. Perito Moreno - km 0.3;-34,634900;-58,527448
Cinemómetro;Av. Del Libertador - 7725;-34,543080;-58,461405
Cinemómetro;Av. De los Constituyentes - 3264;-34,590602;-58,480313
Cinemómetro;Av. Rafael Obligado - 4845;-34,552064;-58,426615
Cinemómetro;Av. Figueroa Alcorta - 2210;-34,583700;-58,391703
Cinemómetro;Av. Del Libertador - 5666;-34,559786;-58,445175
Cinemómetro;Av. Gaona - 1852;-34,611735;-58,454193
Cinemómetro;Av. Sarmiento - 3480;-34,573800;-58,413855
Cinemómetro;Av. Dorrego - 3370;-34,571904;-58,425513
Cinemómetro;Av. Brasil - 2085;-34,629948;-58,393885
Cinemómetro;Av. Donado - 3660;-34,557964;-58,486566
Cinemómetro;Av. San Juan - 730;-34,622106;-58,376237
Cinemómetro;Au. Intendente Cantilo - km 7.55;-34,547917;-58,438557
Cinemómetro;Au. Arturo Frondizi - km 1.3;-34,640090;-58,376556
Cinemómetro;Au. Dellepiane - km 2.3;-34,667696;-58,474928
Cinemómetro;Au. Intendente Cantilo - km 9.86;-34,537088;-58,459187
Cinemómetro;Au. Intendente Cantilo - km 9.8;-34,537088;-58,459187
Cinemómetro;Au. Leopoldo Lugones - km 9.8;-34,537584;-58,459687
Cinemómetro;Au. Leopoldo Lugones - km 9.8;-34,537584;-58,459687
Cinemómetro;Au. Leopoldo Lugones - km 7.6;-34,548313;-58,438831
Cinemómetro;Au. Leopoldo Lugones - km 7.6;-34,548313;-58,438831
Cinemómetro;Au. Leopoldo Lugones - km 4.9;-34,563469;-58,415145
Cinemómetro;Av. De los Constituyentes - 5880;-34,573042;-58,503825
Cinemómetro;Au. Leopoldo Lugones - km 4.9;-34,563469;-58,415145
Cinemómetro;Au. Au1 - Au6 Ramal de transición - km 0.1;-34,647662;-58,464551
Cinemómetro;Av. Dorrego - 3700;-34,566905;-58,420924
Cinemómetro;Av. Dorrego - 3700;-34,567160;-58,420969
Cinemómetro;Av. Ricardo Balbin - 4640;-34,554033;-58,497380
Cinemómetro;Av. Cabildo - 4740;-34,541081;-58,474297
Cinemómetro;Av. Córdoba - 3762;-34,597818;-58,419661
Cinemómetro;Av. Juan B. Alberdi - 1260;-34,624328;-58,445799
Cinemómetro;Au. 25 de mayo - km 4.1;-34,628748;-58,426340
Cinemómetro;Au. 25 de mayo - km 7.2;-34,623799;-58,392682
Cinemómetro;Au. 25 de mayo - km 7.2;-34,623799;-58,392682
Cinemómetro;Au. 25 de mayo - km 4.1;-34,628748;-58,426340
Cinemómetro;Au. General Paz - km 4.3;-34,553849;-58,501957
Cinemómetro;Au. General Paz - km 4.3;-34,553849;-58,501957
Cinemómetro;Au. General Paz - km 10.0;-34,599446;-58,523333
Cinemómetro;Au. General Paz - km 10.0;-34,599446;-58,523333
Cinemómetro;Au. General Paz - km 17.5;-34,664765;-58,514672
Cinemómetro;Au. General Paz - km 22.5;-34,694076;-58,475509
Cinemómetro;Au. General Paz - km 13.1;-34,629026;-58,530079
Cinemómetro;Au. General Paz - km 13.1;-34,629026;-58,530079
Cinemómetro;Au. General Paz - km 4.3;-34,553849;-58,501957
Cinemómetro;Au. General Paz - km 4.3;-34,553849;-58,501957
Cinemómetro;Au. 25 de mayo - km 5.3;-34,626986;-58,413290
Cinemómetro;Au. 25 de mayo - km 5.3;-34,626986;-58,413290
Cinemómetro;Au. 25 de mayo - km 7.0;-34,624312;-58,394810
Cinemómetro;Au. 25 de mayo - km 7.0;-34,624312;-58,394810
Cinemómetro;Av. Independencia - 1668;-34,618124;-58,389834
Cinemómetro;Av. Juan B. Justo - 2650;-34,595415;-58,445046
Cinemómetro;Av. Figueroa Alcorta - 4750;-34,568250;-58,416080
Cinemómetro;Av. Eva Perón - 7280;-34,673378;-58,500386
Cinemómetro;Av. Díaz Vélez - 3420;-34,608335;-58,414838
Cinemómetro;Paseo del bajo Km 1.5;-34,614512;-58,366223
Cinemómetro;Paseo del bajo Km 1.5;-34,614512;-58,366223
Cinemómetro;Paseo del bajo Km 6.0;-34,579106;-58,382082
Cinemómetro;Paseo del bajo Km 6.0;-34,579106;-58,382082
Cinemómetro;Av. De Mayo - 930;-34,608993;-58,379718
Cinemómetro;Calle Holmberg - 3015;-34,564416;-58,481138
Cinemómetro;Av. Jorge Newbery - 4733;-34,594573;-58,457205
Cinemómetro;Av. Chiclana - 3474;-34,636013;-58,413545
Cinemómetro;Av. Honorio Pueyrredon - 1815;-34,600777;-58,451289
Cinemómetro;Av. Pedro Goyena - 805;-34,626220;-58,439244
Cinemómetro;Av. Elcano - 4510;-34,588939;-58,464781
