cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
ALVAREZ THOMAS AV.  Y  DE LOS INCAS AV.,2019-07-23,16,17,2779,53,17,
ALVAREZ THOMAS AV.  Y  DE LOS INCAS AV.,2019-07-23,17,18,3104,45,7,
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,8,9,1971,-,4,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,9,10,2188,-,3,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,10,11,2083,-,4,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,11,12,2167,-,5,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,15,16,2155,-,1,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,16,17,2151,-,1,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,17,18,2173,-,0,NO SE CONTARON COLECTIVOS POR METROBUS
AV. CABILDO   Y  COMODORO RIVADAVIA,2019-06-26,18,19,2007,-,0,NO SE CONTARON COLECTIVOS POR METROBUS
RAWSON  Y  BARTOLOME MITRE,2019-06-26,17,18,1297,0,3,
RAWSON  Y  BARTOLOME MITRE,2019-06-26,18,19,1443,0,0,
RAWSON  Y  LEZICA,2019-06-26,17,18,1134,0,2,
RAWSON  Y  LEZICA,2019-06-26,18,19,1114,0,0,
"DONADO  Y  BALBIN, RICARDO, DR. AV.",2019-03-21,17,18,5195,104,28,
"DONADO  Y  BALBIN, RICARDO, DR. AV.",2019-03-21,18,19,5312,97,19,
"MOLIERE  Y  VARELA, JOSE PEDRO",2019-03-26,8,9,617,0,0,
"MOLIERE  Y  VARELA, JOSE PEDRO",2019-03-26,9,10,477,0,0,
"MOLIERE  Y  VARELA, JOSE PEDRO",2019-03-26,10,11,440,0,0,
"MOLIERE  Y  VARELA, JOSE PEDRO",2019-03-26,11,12,415,1,0,
"MOLIERE  Y  VARELA, JOSE PEDRO",2019-03-26,12,13,565,1,0,
