long,lat,tipo
-58.369318,-34.609241,Led
-58.369459,-34.609971,Led
-58.369561,-34.611172,Led
-58.369534,-34.612292,Led
-58.369493,-34.613578,Led
-58.36796,-34.61219,Led
-58.370562,-34.612369,Led
-58.367144,-34.612145,Led
-58.367246,-34.611001,Led
-58.398279,-34.586527,Led
-58.393542,-34.58562,Led
-58.394974,-34.586348,Led
-58.396194,-34.586957,Led
-58.397241,-34.587451,Led
-58.39877,-34.588383,Led
-58.399832,-34.589134,Led
-58.40037,-34.59018,Led
-58.401044,-34.591546,Led
-58.401496,-34.592524,Led
-58.400891,-34.589877,Led
-58.390075,-34.587067,Led
-58.395858,-34.588536,Led
-58.39397,-34.590068,Led
-58.392936,-34.590922,Led
-58.397477,-34.592869,Led
-58.397198,-34.592951,Led
-58.389211,-34.587639,Led
-58.398751,-34.592487,Led
-58.389993,-34.588328,Led
-58.393029,-34.589209,Led
-58.397773,-34.588515,Led
-58.38881,-34.592809,Led
-58.396632,-34.589476,Led
-58.399949,-34.591992,Led
-58.402445,-34.590953,Led
-58.395286,-34.587866,Led
-58.394917,-34.589308,Led
-58.391932,-34.590064,Led
-58.388941,-34.590831,Led
-58.389931,-34.591713,Led
-58.387951,-34.591639,Led
-58.394949,-34.590904,Led
-58.393902,-34.591791,Led
-58.398611,-34.589849,Led
-58.397439,-34.590561,Led
-58.397122,-34.592089,Led
-58.395789,-34.590181,Led
-58.396753,-34.591144,Led
-58.399221,-34.590833,Led
-58.39811,-34.591488,Led
-58.399503,-34.594129,Led
-58.390949,-34.589201,Led
-58.400899,-34.588482,Led
-58.402424,-34.589907,Led
-58.396016,-34.591809,Led
-58.393086,-34.593803,Led
-58.392806,-34.592637,Led
-58.391886,-34.591744,Led
-58.390933,-34.590884,Led
-58.389959,-34.59,Led
-58.388996,-34.589102,Led
-58.388127,-34.588339,Led
-58.387082,-34.587524,Led
-58.387589,-34.592815,Led
-58.390853,-34.592565,Led
-58.386098,-34.588108,Led
-58.390753,-34.587707,Led
-58.392168,-34.593947,Led
-58.387931,-34.589971,Led
-58.387019,-34.589061,Led
-58.385937,-34.589768,Led
-58.386924,-34.590758,Led
-58.389012,-34.592489,Led
-58.386006,-34.591479,Led
-58.384224,-34.590889,Led
-58.381634,-34.592833,Led
-58.382834,-34.592823,Led
-58.384462,-34.592801,Led
-58.386506,-34.59282,Led
-58.390073,-34.594274,Led
-58.390036,-34.593226,Led
-58.38156,-34.591579,Led
-58.38144,-34.590347,Led
-58.378588,-34.592864,Led
-58.382065,-34.591573,Led
-58.383164,-34.591485,Led
-58.38217,-34.59009,Led
-58.382696,-34.590068,Led
-58.380082,-34.592845,Led
-58.384931,-34.592439,Led
-58.395646,-34.593401,Led
-58.382235,-34.592837,Led
-58.38355,-34.589603,Led
-58.384096,-34.598079,Led
-58.385539,-34.598164,Led
-58.386965,-34.598268,Led
-58.388209,-34.598355,Led
-58.389736,-34.598478,Led
-58.391658,-34.598618,Led
-58.393046,-34.598708,Led
-58.394552,-34.598699,Led
-58.395884,-34.598705,Led
-58.397335,-34.598568,Led
-58.399043,-34.598276,Led
-58.384031,-34.59915,Led
-58.385458,-34.599217,Led
-58.386799,-34.59934,Led
-58.38815,-34.599343,Led
-58.389684,-34.599427,Led
-58.391558,-34.599551,Led
-58.392934,-34.599636,Led
-58.394411,-34.599667,Led
-58.395812,-34.599677,Led
-58.3972,-34.599702,Led
-58.398795,-34.599726,Led
-58.399923,-34.599601,Led
